"FMAID","Preferred Label","Parent FMAID"
56694,"Periodontium of right second lower premolar tooth",56693
277846,"Layer of CA2 field",277842
277848,"Layer of CA3 field",277842
27784,"Synovial cavity of right T10-T11 vertebral arch joint",27763
277840,"Outer granular layer of left dentate gyrus",277836
277844,"Layer of CA1 field",277842
277842,"Layer of CA field",83679
314945,"Cranial sinus space",84953
31494,"Compact bone of left lamina of first lumbar vertebra",31486
314943,"Left optic canal space",314939
314941,"Right optic canal space",314939
314947,"Intra-osseous cavity of bone organ",24021
314949,"Extra-osseous cavity of bone organ",274321
12171,"Skin of left lateral chest",34828
37481,"Third lumbrical of foot",37453
70880,"Set of vorticose veins",63814
81741,"Nerve to right first lateral lumbar intertransversarius",81726
329234,"Intermedial supraclavicular nerve",65414
67586,"Annular protein subunit",63887
23063,"Pectoral branch of right thoraco-acromial artery",23062
55800,"Mastoid air cell",52870
87122,"Vasculature of tail of pancreas",281109
22052,"Labium majus branch of right posterior labial nerve",22049
13554,"Nucleus pulposus of intervertebral disk of cervical vertebra",13550
36730,"Articular cartilage of distal epiphysis of fourth metacarpal bone",34491
20985,"Vesical fundus part of vaginal artery",20980
31108,"Surface of inferior articular process proper of fourth cervical vertebra",31099
311086,"Proximal deep tendon of tibialis posterior",46006
311084,"Distal deep tendon of left tibialis posterior",311080
311080,"Distal deep tendon of tibialis posterior",46006
311082,"Distal deep tendon of right tibialis posterior",311080
311088,"Proximal deep tendon of right tibialis posterior",311086
39189,"Muscle fasciculus of left rhomboid minor",39187
326735,"Foramina of Scarpa",53166
15430,"Lateral branch of left portal vein",71906
32870,"Adductor tubercle",305592
8591,"Superior border of right twelfth costal cartilage",8529
8597,"Left first thoracic radicular vein",10757
8590,"Posterior surface of left twelfth costal cartilage",8528
8592,"Superior border of left twelfth costal cartilage",8529
8593,"Inferior border of right twelfth costal cartilage",8530
8599,"Facet of body of sternum for fifth costal cartilage",12231
8594,"Inferior border of left twelfth costal cartilage",8530
15715,"Anal intersphincteric groove",20054
37292,"Surface of distal epiphysis of right metatarsal bone",37291
18957,"T2 part of external vertebral venous plexus",18955
52662,"Medial branch of left supra-orbital nerve",52659
48291,"Muscle fasciculus of splenius capitis",68013
76790,"Set of cords of brachial nerve plexus",78573
30936,"Surface of right articular process of fourth lumbar vertebra",30928
309360,"Suprascapular nerve component of trunk proper of anterior ramus of left fifth cervical nerve",309356
309365,"Suprascapular nerve component of trunk of fifth cervical nerve",309334
309367,"Suprascapular nerve component of trunk of right fifth cervical nerve",309365
309369,"Suprascapular nerve component of trunk of left fifth cervical nerve",309365
80324,"L4 dermatome",80301
72836,"Right nucleus accumbens",61889
270322,"Right Brodmann area 17",68614
270328,"Right Brodmann area 18",68615
270324,"Left Brodmann area 17",68614
51793,"Hyaline cartilage of left lateral cuneiform bone",51782
43186,"Surface of proximal phalanx of index finger",43182
70843,"Set of middle thyroid veins",63814
45377,"Lateral branch of right superficial fibular nerve",44812
64052,"Fibrous membrane of articular capsule of metacarpophalangeal joint of left index finger",64039
61411,"Skeletal system of left lower free limb",61409
13410,"Subclavius",37349
76067,"Trunk of anterior perforating branch of left anterior cerebral artery",76065
70448,"Medial segmental hepatic artery",71736
86514,"Zone 14a of anterior interventricular branch of left coronary artery",86505
13337,"Left external oblique",13335
74808,"Surface of right mastoid part of head",46482
42875,"Diaphysis of third metacarpal bone",33804
68067,"Trunk of left inferior phrenic vein",68065
80654,"Trunk of branch of internal laryngeal nerve",80631
273787,"Gray matter of anterior segment of left paracentral lobule",273783
27378,"Superficial compartment of superficial perineal space",27940
273785,"Gray matter of anterior segment of right paracentral lobule",273783
273789,"Brodmann area 7 of parietal lobe",271223
273783,"Gray matter of anterior segment of paracentral lobule",272467
316656,"Trunk of third posterior thoracic radicular vein",316628
316652,"Trunk of first posterior thoracic radicular vein",316628
316658,"Trunk of fourth posterior thoracic radicular vein",316628
316654,"Trunk of second posterior thoracic radicular vein",316628
316650,"Trunk of eleventh anterior thoracic radicular vein",316626
32442,"Articular facet of inferior surface of body of fifth sacral vertebra",32438
32406,"Organ cluster",49443
45721,"Transition zone of prostate",74116
43455,"Anteromedial surface of diaphysis of left third metacarpal bone",43447
86222,"Region of wall of male genital duct",86103
48482,"Epimysium of left semispinalis thoracis",48480
44166,"Trabecular bone of neck of left talus",44162
39100,"Musculature of anterior compartment of left forearm",39098
57475,"Left orbital plate of ethmoid",57451
73048,"Left parafascicular nucleus",62166
77513,"Craniospinal sensory ganglion",5885
64166,"Interventricular laryngeal space",55407
32357,"Surface of right mamillary process of third lumbar vertebra",32350
57787,"Superficial fascia of right hand",50272
37240,"Surface of metaphysis of ulna",37227
72808,"Anterior part of right middle temporal gyrus",70705
326363,"CD198+ T lymphocyte",62870
37722,"Skin of right arm",37721
18669,"Surface of region of ureter",45688
43566,"Grayson's ligament of left middle finger",43558
63243,"Epithelium of crypt of Lieberkuhn of small intestine",68468
86044,"Region of myocardium",86103
262620,"Lumen of trunk of segmental pulmonary artery",262064
262626,"Lumen of trunk of left apical segmental artery",262622
262624,"Lumen of trunk of right apical segmental artery",262622
26262,"Right neurocentral junction of first lumbar vertebra",26257
262622,"Lumen of trunk of apical segmental artery",262620
262628,"Lumen of trunk of apicoposterior segmental artery",262620
11987,"Right inferior costal facet of body of fifth thoracic vertebra",9928
80706,"Trunk of tracheal branch of recurrent laryngeal nerve",80696
67687,"Hindbrain",61815
86647,"Surface of mid inferolateral zone of myocardium of left ventricle",86633
35107,"Subdivision of medial surface of cuboid bone",33582
28305,"Surface of left lamina of first thoracic vertebra",28292
283055,"Multiform layer of Brodmann area 51",282425
283057,"Multiform layer of Brodmann area 52",282427
283051,"Multiform layer of Brodmann area 49",282421
283053,"Multiform layer of Brodmann area 50",282423
283059,"Plexiform layer of right Brodmann area 1",282443
51713,"Periosteum of left cuboid bone",51711
266659,"Dura mater of posterior root of right first thoracic nerve",266257
266655,"Dura mater of posterior root of right fifth lumbar nerve",266413
266657,"Dura mater of posterior root of left fifth lumbar nerve",266413
266651,"Dura mater of posterior root of right fourth lumbar nerve",266411
266653,"Dura mater of posterior root of left fourth lumbar nerve",266411
24959,"Ligamentum flavum of C7-T1 vertebrae",24951
78268,"Trunk of femoral vein",78255
42921,"Proximal metaphysis of left first metacarpal bone",42915
22270,"Gluteus maximus part of left inferior gluteal artery",22261
27015,"Articular capsule of right L2-L3 vertebral arch joint",26566
270159,"Integument of left eye",270155
270155,"Integument of eye",224058
270153,"Integument of nose",224058
270157,"Integument of right eye",270155
270151,"Integument of mouth",224058
29106,"Trabecular bone of right posterolateral part of body of third thoracic vertebra",29092
291061,"Trunk of nerve to right subcostal muscle",291059
291063,"Trunk of nerve to left subcostal muscle",291059
291067,"Peripheral segment of right genitofemoral nerve",291065
291065,"Peripheral segment of genitofemoral nerve",288190
291069,"Peripheral segment of left genitofemoral nerve",291065
87225,"Zone 13a of left diagonal artery",86506
48528,"Perimysium of multifidus lumborum",48522
79479,"Trunk of left inferior alveolar artery",79477
68628,"Brodmann area 31",68596
47315,"Perimysium of right nasalis",47314
55580,"Stroma of right inferior parathyroid gland",55577
13370,"Longus colli",32514
328896,"Ossification center of right fetal nasal bone",328895
19537,"Internal surface of seminal vesicle proper",19517
78974,"Trunk of branch of superficial fibular nerve",78962
55503,"Superior border of petrous part of right temporal bone",55502
52042,"Superficial lymphatic vessel of ankle",52041
33126,"Diaphysis of right tibia",33125
58270,"Wall of lactiferous duct tree",86103
72652,"Embryonic stage",24120
22066,"Left retropubic space",22060
326194,"Posterior part of left iliac crest",323464
272717,"Gray matter of left side of uvula of vermis of cerebellum",270352
27271,"Bone of lumbar vertebra",24356
272711,"Gray matter of right side of pyramis of vermis of cerebellum",270352
272713,"Gray matter of left side of pyramis of vermis of cerebellum",270352
272719,"Brodmann area 36 of uncus",271277
272715,"Gray matter of right side of uvula of vermis of cerebellum",270352
45422,"Right medial sural cutaneous nerve",44687
67851,"Structural microtubule-associated protein",67847
86627,"Epithelium of subsegmental bronchus",67782
31368,"Cartilage of superior surface of posterolateral part of body of eighth thoracic vertebra",31071
9427,"Lateral part of lateral basal segmental vein",14315
9423,"Intrasegmental tributary of right medial basal segmental vein",14305
9422,"Right medial basal segmental vein",13289
9420,"Intrasegmental tributary of right medial segmental vein",9412
9425,"Right lateral basal segmental vein",13291
9428,"Right posterior basal segmental vein",13292
9421,"Subsegmental part of medial segmental vein",9413
9424,"Intersegmental tributary of right medial basal segmental vein",14313
9426,"Intrasegmental tributary of right lateral basal segmental vein",14307
9429,"Intrasegmental tributary of right posterior basal segmental vein",14308
67304,"Cell appendage",242660
82634,"Nerve to vertical muscle of tongue",323338
14225,"Right eleventh anterior intercostal artery",10676
